,o,d,Run,Buckets,issues,l_steps,CI2,n_agents,p
1067,0.25,0.8499999999999999,3,1,3,1500,True,100,0.2
1066,0.25,0.8499999999999999,3,1,3,1500,True,100,0.2
1065,0.25,0.8499999999999999,3,3,3,1500,True,100,0.2
1064,0.25,0.8499999999999999,3,2,3,1500,True,100,0.2
1063,0.25,0.8499999999999999,3,1,3,1500,True,100,0.2
1062,0.25,0.8499999999999999,3,1,3,1500,True,100,0.2
1061,0.25,0.8499999999999999,3,1,3,1500,True,100,0.2
1060,0.25,0.8499999999999999,3,3,3,1500,True,100,0.2
1059,0.25,0.7999999999999999,3,1,3,1500,True,100,0.2
1058,0.25,0.7999999999999999,3,3,3,1500,True,100,0.2
1057,0.25,0.7999999999999999,3,2,3,1500,True,100,0.2
1056,0.25,0.7999999999999999,3,2,3,1500,True,100,0.2
1055,0.25,0.7999999999999999,3,1,3,1500,True,100,0.2
1054,0.25,0.7999999999999999,3,1,3,1500,True,100,0.2
1053,0.25,0.7999999999999999,3,2,3,1500,True,100,0.2
1052,0.25,0.7999999999999999,3,1,3,1500,True,100,0.2
1051,0.25,0.7999999999999999,3,2,3,1500,True,100,0.2
1050,0.25,0.7999999999999999,3,1,3,1500,True,100,0.2
1049,0.25,0.7999999999999999,3,1,3,1500,True,100,0.2
1048,0.25,0.7999999999999999,3,2,3,1500,True,100,0.2
1047,0.25,0.7999999999999999,3,1,3,1500,True,100,0.2
1070,0.25,0.8499999999999999,3,2,3,1500,True,100,0.2
1071,0.25,0.8499999999999999,3,1,3,1500,True,100,0.2
1072,0.25,0.8499999999999999,3,2,3,1500,True,100,0.2
1073,0.25,0.8499999999999999,3,1,3,1500,True,100,0.2
1097,0.25,0.8999999999999999,3,2,3,1500,True,100,0.2
1096,0.25,0.8999999999999999,3,2,3,1500,True,100,0.2
1095,0.25,0.8999999999999999,3,2,3,1500,True,100,0.2
1094,0.25,0.8999999999999999,3,1,3,1500,True,100,0.2
1093,0.25,0.8999999999999999,3,1,3,1500,True,100,0.2
1092,0.25,0.8999999999999999,3,2,3,1500,True,100,0.2
1091,0.25,0.8999999999999999,3,1,3,1500,True,100,0.2
1090,0.25,0.8999999999999999,3,2,3,1500,True,100,0.2
1089,0.25,0.8999999999999999,3,1,3,1500,True,100,0.2
1088,0.25,0.8999999999999999,3,1,3,1500,True,100,0.2
1087,0.25,0.8999999999999999,3,1,3,1500,True,100,0.2
1046,0.25,0.7999999999999999,3,3,3,1500,True,100,0.2
1086,0.25,0.8999999999999999,3,4,3,1500,True,100,0.2
1084,0.25,0.8999999999999999,3,1,3,1500,True,100,0.2
1083,0.25,0.8999999999999999,3,1,3,1500,True,100,0.2
1082,0.25,0.8999999999999999,3,2,3,1500,True,100,0.2
1081,0.25,0.8999999999999999,3,1,3,1500,True,100,0.2
1080,0.25,0.8999999999999999,3,1,3,1500,True,100,0.2
1079,0.25,0.8499999999999999,3,1,3,1500,True,100,0.2
1078,0.25,0.8499999999999999,3,1,3,1500,True,100,0.2
1077,0.25,0.8499999999999999,3,2,3,1500,True,100,0.2
1076,0.25,0.8499999999999999,3,2,3,1500,True,100,0.2
1075,0.25,0.8499999999999999,3,1,3,1500,True,100,0.2
1074,0.25,0.8499999999999999,3,1,3,1500,True,100,0.2
1085,0.25,0.8999999999999999,3,1,3,1500,True,100,0.2
990,0.25,0.6499999999999999,3,1,3,1500,True,100,0.2
